,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
2209,2,Santa Paula,106,3,2,2,0,0,1,0,0,520.0,550000
2210,2,Cerâmica,68,2,2,2,0,0,0,0,0,19.0,6498000
2211,2,Barcelona,68,2,4,4,0,1,1,1,1,150.0,450000
2212,2,Barcelona,67,2,2,2,0,1,1,1,1,511.0,455000
2213,2,Barcelona,88,3,2,2,0,0,1,1,0,515.0,450000
2214,2,Santo Antônio,62,2, -- , -- ,0,1,1,1,1,508.0,475000
2215,2,Mauá,79,3,1,1,1,1,1,1,0,550.0,495000
2216,2,Nova Gerty,40,1,1,1,0,1,1,0,1,1.0,319000
2217,1,Boa Vista,127,3,2,2,0,1,1,1,1,450.0,530000
2218,2,Santa Maria,76,2,2,2,0,1,1,1,0,600.0,4199000
2219,2,Boa Vista,79,3,2,2,0,0,1,0,0,561.0,700000
2220,2,Santa Paula,174,3,3,3,0,1,1,1,1,14.0,990000
2221,2,Boa Vista,65,2,1,1,1,0,1,1,0,775.0,365000
2222,2,Olímpico,90,2,4,4,0,1,1,1,1,450.0,850000
2223,2,Santa Paula,90,3,2,2,0,1,1,1,1,878.0,650000
2224,2,Santa Paula,180,3,2,2,0,0,1,0,0,738.0,1200000
2225,2,Santa Maria,67,3,2,2,1,1,1,1,0,410.0,240000
2226,2,Olímpico,70,2,2,2,0,0,1,1,1,447.0,395000
2227,2,Santa Maria,75,2,2,2,1,1,0,0,0,482.0,460000
2228,2,Santa Maria,160,3,1,1,0,1,1,1,1,478.0,7499000
2229,2,Santa Paula,84,3,2,2,1,0,1,1,0,105.0,750000
2230,2,Nova Gerty,140,2,1,1,0,1,1,1,1,351.0,500000
2231,2,Cerâmica,56,2,1,1,0,1,1,1,1,430.0,459000
2232,2,Santa Maria,64,2,2,2,1,1,1,1,0,535.0,390000
2233,2,Cerâmica,65,2,2,2,0,1,1,1,1,105.0,430000
2234,2,Olímpico,264,3,3,3,0,0,0,0,0,500.0,1980000
2235,2,Santo Antônio,113,2,1,1,1,0,0,1,1,520.0,1130000
2236,2,Fundação,61,2,1,1,1,1,0,1,1,19.0,331000
2237,2,Cerâmica,90,2,1,1,0,0,1,0,0,150.0,990000
2238,2,Santa Paula,106,3,2,2,0,0,0,0,0,511.0,550000
2239,2,Cerâmica,68,2,1,1,0,1,1,1,1,515.0,6498000
2240,2,Barcelona,68,2,2,2,0,1,1,1,1,508.0,450000
2241,2,Barcelona,67,2,2,2,0,1,1,1,1,550.0,455000
2242,2,Barcelona,88,3,3,3,0,1,1,1,0,1.0,450000
2243,2,Santo Antônio,62,2, -- , -- ,0,0,1,1,0,450.0,475000
2244,2,Mauá,79,3,2,2,0,1,1,1,1,600.0,495000
2245,2,Nova Gerty,40,1,2,2,0,0,1,1,0,385.0,319000
2246,1,Boa Vista,127,3,1,1,0,1,1,1,1,561.0,530000
2247,2,Fundação,68,2, -- , -- ,1,1,1,1,0,14.0,420000
2248,2,Santo Antônio,160,4,1,1,1,1,1,1,0,775.0,1050000
2249,2,Centro,70,2,1,1,0,1,1,0,1,450.0,500000
2250,2,Santa Maria,150,2,3,3,0,1,1,1,1,878.0,750000
2251,2,Santa Maria,76,2,1,1,0,1,1,1,0,738.0,4199000
2252,2,Boa Vista,79,3,1,1,0,0,1,0,0,410.0,700000
2253,2,Santa Paula,174,3,2,2,0,1,1,1,1,447.0,990000
2254,2,Boa Vista,65,2,1,1,0,1,1,1,1,482.0,365000
2255,2,Olímpico,90,2,2,2,1,0,1,1,0,478.0,850000
2256,2,Santa Paula,90,3,1,1,0,1,1,1,1,105.0,650000
2257,2,Santa Paula,180,3,3,3,0,1,1,1,1,351.0,1200000
2258,2,Santa Maria,67,3,2,2,0,1,1,1,1,430.0,240000
2259,2,Olímpico,70,2,2,2,0,1,1,1,1,535.0,395000
2260,2,Santa Maria,75,2,1,1,1,1,1,1,0,105.0,460000
2261,2,Santa Maria,160,3,2,2,0,0,1,1,1,500.0,7499000
2262,2,Santa Paula,84,3,1,1,0,1,1,1,1,520.0,750000
2263,2,Nova Gerty,140,2,3,3,1,1,0,0,0,19.0,500000
2264,2,Cerâmica,56,2,1,1,1,0,1,1,0,511.0,459000
2265,2,Santa Maria,64,2,2,2,0,1,1,1,1,515.0,390000
2266,2,Cerâmica,65,2,2,2,1,0,0,1,1,508.0,430000
2267,2,Olímpico,264,3, -- , -- ,0,1,1,1,1,550.0,1980000
